warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-B,Mobile,Supplier-W,856.0,454,2025-11-14,4553.81
WH-E,Laptop,Supplier-Z,656.0,496,2024-07-29,5172.36
WH-B,Mouse,Supplier-Z,169.0,95,2024-09-20,3246.23
WH-D,Mobile,Supplier-Y,447.0,473,2024-11-02,4305.78
WH-C,Monitor,Supplier-X,314.0,470,2025-12-26,2729.02
WH-C,Router,Supplier-Y,821.0,72,2024-08-29,1186.8
WH-E,Keyboard,Supplier-W,220.0,173,2024-08-19,2200.32
WH-B,Monitor,Supplier-X,203.0,256,2024-12-16,3818.01
WH-C,Tablet,Supplier-Z,684.0,193,2025-10-16,2155.26
WH-E,Router,Supplier-X,71.0,244,2024-07-12,4731.54
WH-D,Keyboard,Supplier-Y,237.0,296,2024-11-11,4463.5
WH-D,Laptop,,,258,2026-04-06,
WH-B,Router,Supplier-Z,984.0,179,2024-08-12,4865.39
WH-C,Laptop,Supplier-Z,23.0,368,2026-06-03,3201.26
WH-C,Mouse,Supplier-Z,969.0,33,2025-07-27,3884.15
WH-B,Mouse,Supplier-Y,743.0,31,2025-08-24,4646.51
WH-C,Mobile,Supplier-Y,498.0,231,2024-09-29,3879.16
WH-E,Router,Supplier-W,864.0,250,2025-09-05,5195.28
WH-E,Mouse,Supplier-Y,208.0,191,2026-04-26,1546.15
WH-E,Monitor,Supplier-Y,588.0,40,2025-02-09,3253.49
WH-D,Mobile,Supplier-V,309.0,180,2024-12-08,2497.2
WH-D,Mobile,Supplier-X,571.0,300,2025-08-25,1179.72
WH-B,Router,Supplier-Z,670.0,124,2026-05-25,2452.01
WH-A,Tablet,Supplier-W,636.0,218,2026-05-10,3459.96
WH-D,Monitor,Supplier-Z,81.0,122,2024-11-02,584.45
WH-D,Mouse,Supplier-Y,120.0,452,2026-01-23,2293.51
WH-C,Mouse,Supplier-X,703.0,233,2025-02-26,2680.83
WH-D,Mouse,Supplier-X,260.0,321,2024-11-20,4095.6
WH-D,Laptop,Supplier-X,918.0,181,2026-01-01,1124.32
WH-D,Router,Supplier-V,775.0,38,2026-02-26,2149.01
WH-C,Router,Supplier-Y,562.0,32,2025-06-29,2235.32
WH-E,Mouse,Supplier-W,254.0,432,2024-09-01,749.17
WH-E,Router,Supplier-Y,188.0,430,2026-05-12,3984.94
WH-B,Mouse,Supplier-W,400.0,418,2026-03-28,2841.79
WH-C,Mobile,Supplier-Z,291.0,479,2026-03-30,2304.92
WH-D,Printer,Supplier-V,220.0,441,2025-01-21,4233.36
WH-D,Mobile,Supplier-Y,576.0,124,2024-11-07,3888.88
WH-B,Tablet,Supplier-X,880.0,407,2026-06-13,3819.82
WH-D,Printer,Supplier-W,61.0,181,2025-09-25,4689.04
WH-E,Printer,Supplier-X,72.0,296,2026-05-03,4972.95
WH-E,Tablet,Supplier-X,295.0,356,2024-12-31,4520.58
WH-D,Tablet,Supplier-W,361.0,402,2025-01-25,2511.96
WH-D,Monitor,Supplier-Z,857.0,249,2024-11-09,1575.94
WH-A,Tablet,Supplier-X,541.0,494,2025-12-23,5036.27
WH-B,Monitor,Supplier-Z,498.0,111,2024-10-25,3935.82
WH-A,Keyboard,Supplier-Y,171.0,69,2025-02-26,4194.86
WH-A,Monitor,Supplier-Y,563.0,300,2024-12-21,4556.73
WH-A,Router,Supplier-Z,267.0,238,2025-02-03,4291.19
WH-A,Laptop,Supplier-X,279.0,309,2026-07-02,3466.29
WH-E,Printer,Supplier-Z,538.0,21,2025-09-29,3082.8
WH-C,Router,Supplier-X,111.0,478,2025-07-16,3857.16
WH-A,Laptop,Supplier-Z,550.0,125,2025-12-27,1417.16
WH-B,Mobile,Supplier-X,643.0,90,2026-06-08,4977.82
WH-B,Monitor,Supplier-X,925.0,248,2025-08-09,4622.12
WH-E,Mobile,Supplier-W,243.0,92,2026-04-27,2061.11
WH-A,Mobile,Supplier-Z,674.0,431,2026-06-25,2530.71
WH-D,Mobile,Supplier-W,956.0,83,2025-02-21,4179.43
WH-D,Printer,Supplier-Z,218.0,369,2024-12-29,1295.36
WH-C,Printer,Supplier-V,151.0,490,2024-12-23,1817.16
WH-C,Router,Supplier-Y,966.0,393,2024-10-27,5189.1
WH-D,Laptop,Supplier-Y,158.0,236,2024-09-07,1651.92
WH-B,Tablet,Supplier-Z,290.0,103,2025-09-13,3100.98
WH-D,Printer,Supplier-Y,267.0,177,2025-12-09,3403.27
WH-B,Keyboard,Supplier-Y,102.0,57,2024-10-27,4652.57
WH-D,Laptop,Supplier-W,837.0,154,2025-06-24,2465.57
WH-C,Keyboard,Supplier-X,467.0,464,2025-05-22,3560.98
WH-E,Router,Supplier-Y,38.0,22,2026-01-04,2033.34
WH-B,Mouse,Supplier-V,774.0,186,2026-04-21,4321.41
WH-E,Tablet,Supplier-V,42.0,373,2025-10-28,2473.67
WH-A,Mobile,Supplier-W,186.0,285,2026-04-08,4314.65
WH-B,Tablet,Supplier-W,753.0,448,2024-12-16,1586.42
WH-A,Monitor,Supplier-W,251.0,303,2024-09-21,4154.45
WH-E,Keyboard,Supplier-Y,776.0,356,2026-04-05,3683.82
WH-D,Printer,Supplier-X,145.0,399,2025-03-18,1931.87
WH-A,Keyboard,Supplier-X,10.0,471,2026-06-02,3498.33
WH-A,Printer,Supplier-V,773.0,348,2025-11-12,1473.92
WH-D,Mobile,Supplier-W,822.0,419,2025-09-28,4965.19
WH-D,Mouse,Supplier-Y,207.0,421,2025-09-30,3832.23
WH-A,Tablet,Supplier-W,39.0,85,2025-02-03,1410.01
WH-E,Router,Supplier-Z,450.0,98,2025-06-28,4234.09
WH-B,Mouse,Supplier-W,278.0,312,2026-01-15,3706.78
WH-B,Laptop,Supplier-Y,266.0,225,2025-01-14,1282.24
WH-B,Mobile,Supplier-V,346.0,65,2025-04-11,1186.69
WH-C,Keyboard,Supplier-W,791.0,94,2025-10-22,3125.44
WH-B,Mouse,Supplier-Z,416.0,441,2025-09-05,3639.5
WH-B,Monitor,Supplier-Z,808.0,424,2025-01-23,1051.04
WH-C,Laptop,Supplier-X,980.0,166,2025-03-09,4300.52
WH-A,Mouse,Supplier-Z,887.0,306,2024-11-20,4053.21
WH-A,Laptop,Supplier-Z,638.0,329,2025-11-10,4035.4
WH-A,Keyboard,Supplier-Y,524.0,282,2025-10-22,1465.74
WH-B,Monitor,Supplier-Z,611.0,407,2026-01-30,2910.79
WH-A,Laptop,Supplier-Y,224.0,165,2025-11-11,4977.47
WH-B,Mobile,Supplier-Y,164.0,75,2025-09-02,4628.58
WH-A,Monitor,Supplier-W,22.0,276,2026-04-24,2435.14
WH-B,Monitor,Supplier-Y,431.0,133,2024-10-08,2867.7
WH-A,Mobile,Supplier-Y,40.0,13,2025-03-21,1873.98
WH-E,Tablet,Supplier-W,516.0,51,2025-08-01,2288.41
WH-E,Tablet,Supplier-V,380.0,154,2026-03-29,913.11
WH-A,Monitor,Supplier-Z,410.0,299,2024-09-03,4328.83
WH-D,Keyboard,Supplier-W,785.0,410,2025-08-01,2770.62
WH-C,Keyboard,Supplier-W,717.0,39,2024-09-29,1586.47
WH-B,Laptop,Supplier-Y,249.0,263,2026-03-13,2982.61
WH-B,Printer,Supplier-W,773.0,3,2025-04-29,5074.15
WH-A,Mobile,Supplier-X,601.0,325,2025-05-05,5049.87
WH-C,Mouse,Supplier-W,591.0,203,2025-05-04,2616.11
WH-B,Router,Supplier-W,142.0,90,2024-07-22,1821.55
WH-A,Mouse,Supplier-Y,671.0,419,2024-11-20,1459.79
WH-B,Router,Supplier-Z,892.0,421,2025-06-09,2231.87
WH-C,Keyboard,Supplier-X,281.0,1,2024-08-25,1852.02
WH-A,Printer,Supplier-X,15.0,467,2025-10-12,3617.54
WH-E,Monitor,Supplier-X,615.0,122,2024-09-25,3360.28
WH-D,Laptop,Supplier-X,307.0,485,2024-08-02,2066.64
WH-B,Tablet,Supplier-V,336.0,479,2026-06-10,3515.06
WH-C,Tablet,,,359,2024-07-06,
WH-A,Mouse,Supplier-Z,130.0,205,2026-06-04,4736.94
WH-A,Keyboard,Supplier-Y,41.0,473,2026-03-22,4619.16
WH-D,Monitor,Supplier-Y,732.0,270,2024-12-08,2804.3
WH-E,Keyboard,Supplier-Y,853.0,342,2024-09-29,3589.93
WH-A,Router,Supplier-Z,110.0,84,2026-01-06,4275.37
WH-B,Mobile,Supplier-W,380.0,304,2025-04-17,4507.43
WH-C,Keyboard,Supplier-Z,976.0,467,2025-01-16,1331.18
WH-A,Laptop,,,107,2026-05-23,
WH-E,Monitor,Supplier-W,229.0,99,2025-03-29,4431.1
WH-C,Laptop,Supplier-Z,753.0,492,2024-12-18,4446.84
WH-E,Router,Supplier-Z,710.0,344,2025-11-21,1845.69
WH-D,Tablet,Supplier-Z,190.0,202,2026-06-28,4726.32
WH-B,Monitor,Supplier-X,2.0,395,2025-04-04,1937.53
WH-D,Printer,,,11,2025-06-30,
WH-C,Keyboard,Supplier-W,686.0,60,2026-01-01,2160.4
WH-D,Router,Supplier-V,135.0,376,2024-09-27,1585.2
WH-E,Mobile,Supplier-V,38.0,327,2024-09-20,2360.56
WH-B,Keyboard,Supplier-W,464.0,366,2026-04-07,1842.97
WH-B,Laptop,Supplier-Y,226.0,0,2025-08-21,2702.94
WH-E,Mouse,Supplier-V,109.0,256,2025-01-04,3293.28
WH-D,Keyboard,Supplier-V,132.0,499,2024-12-11,3817.9
WH-C,Mouse,Supplier-Z,751.0,440,2026-02-05,3506.15
WH-C,Tablet,Supplier-Z,778.0,151,2025-10-21,4476.31
WH-E,Laptop,Supplier-Z,30.0,167,2025-06-19,3203.32
WH-C,Router,Supplier-V,359.0,465,2026-04-17,2045.07
WH-A,Tablet,Supplier-Z,787.0,123,2025-06-14,900.11
WH-D,Router,Supplier-X,809.0,429,2026-06-02,3316.36
WH-C,Router,Supplier-X,143.0,397,2025-06-03,1651.12
WH-B,Keyboard,Supplier-W,467.0,437,2025-08-27,2303.35
WH-E,Laptop,Supplier-Y,624.0,480,2024-12-22,5194.96
WH-B,Laptop,Supplier-X,84.0,225,2025-06-28,4825.47
WH-E,Keyboard,Supplier-V,339.0,162,2025-12-22,4979.79
WH-A,Router,Supplier-Y,549.0,81,2024-10-20,2289.67
WH-A,Mouse,Supplier-Y,203.0,95,2024-09-19,1971.17
WH-A,Router,Supplier-W,929.0,442,2025-11-20,4357.26
WH-C,Laptop,,,107,2025-11-17,
WH-B,Tablet,Supplier-Z,361.0,365,2026-03-26,2243.1
WH-C,Printer,Supplier-V,755.0,361,2025-11-22,4620.55
WH-C,Router,Supplier-V,735.0,291,2026-01-26,3489.47
WH-D,Monitor,Supplier-X,75.0,499,2026-05-17,1280.63
WH-E,Laptop,Supplier-X,951.0,9,2025-10-18,4393.91
WH-E,Mouse,Supplier-V,178.0,93,2026-04-06,5008.06
WH-B,Router,Supplier-Y,82.0,239,2025-05-21,3303.99
WH-D,Tablet,Supplier-X,785.0,477,2025-09-16,2966.26
WH-D,Router,Supplier-Z,143.0,6,2024-10-05,4338.33
WH-E,Mouse,Supplier-V,780.0,347,2026-03-21,2023.8
WH-A,Tablet,Supplier-W,820.0,389,2025-06-18,1246.87
WH-D,Laptop,Supplier-W,733.0,404,2026-02-11,2929.68
WH-B,Printer,Supplier-X,390.0,354,2025-10-07,1023.89
WH-D,Tablet,Supplier-X,127.0,109,2024-09-16,1443.34
WH-D,Keyboard,Supplier-W,14.0,210,2025-05-09,1472.81
WH-A,Printer,Supplier-Z,749.0,117,2025-03-25,2161.95
WH-C,Router,Supplier-Z,453.0,358,2026-01-03,1951.3
WH-E,Monitor,Supplier-Y,802.0,13,2024-09-07,2912.27
WH-C,Keyboard,Supplier-V,192.0,300,2026-02-12,1116.12
WH-D,Router,Supplier-Z,67.0,357,2024-08-08,2174.88
WH-E,Tablet,Supplier-V,120.0,267,2026-05-05,2053.17
WH-B,Keyboard,Supplier-V,519.0,356,2026-01-16,3211.07
WH-B,Printer,Supplier-W,611.0,163,2025-11-29,1191.18
WH-E,Monitor,Supplier-V,265.0,363,2024-08-22,3980.34
WH-D,Mobile,Supplier-W,986.0,315,2025-02-13,4038.33
WH-B,Tablet,Supplier-Y,201.0,293,2026-01-19,2825.12
WH-B,Keyboard,Supplier-V,847.0,46,2024-10-11,4486.78
WH-E,Monitor,Supplier-V,225.0,93,2025-10-13,4351.5
WH-E,Router,Supplier-V,47.0,189,2024-11-27,4517.3
WH-A,Mouse,Supplier-Z,159.0,307,2025-02-15,1344.86
WH-B,Monitor,Supplier-V,51.0,238,2026-02-27,2653.92
WH-C,Mouse,Supplier-X,32.0,395,2024-09-27,2300.74
WH-C,Printer,Supplier-Z,193.0,300,2025-04-07,2029.59
WH-A,Laptop,Supplier-Y,559.0,34,2026-03-16,4822.02
WH-A,Router,Supplier-W,98.0,388,2025-09-20,4568.92
WH-C,Monitor,Supplier-W,162.0,61,2024-08-16,3982.26
WH-E,Keyboard,Supplier-X,101.0,153,2025-07-15,1829.28
WH-C,Mouse,Supplier-W,403.0,49,2025-02-13,1157.16
WH-C,Keyboard,Supplier-Y,189.0,236,2024-12-18,4896.61
WH-D,Mouse,Supplier-W,729.0,1,2025-05-27,880.0
WH-C,Laptop,Supplier-W,884.0,467,2025-02-21,4801.2
WH-D,Printer,Supplier-V,501.0,326,2025-09-22,2432.89
WH-C,Mouse,Supplier-W,648.0,340,2026-05-22,4447.28
WH-E,Monitor,Supplier-W,723.0,387,2024-12-14,1307.27
WH-E,Router,Supplier-W,805.0,214,2024-08-31,3788.42
WH-E,Mouse,Supplier-V,146.0,327,2026-06-02,2415.2
WH-E,Router,Supplier-W,239.0,270,2025-04-15,5065.17
WH-B,Mouse,Supplier-Y,37.0,246,2024-12-31,2901.47
WH-B,Printer,Supplier-W,602.0,309,2025-11-23,2432.86
WH-A,Monitor,Supplier-W,392.0,271,2025-09-11,4077.75
WH-C,Tablet,Supplier-X,86.0,453,2026-02-10,4834.0
WH-C,Monitor,Supplier-Z,523.0,22,2025-11-02,2962.69
WH-D,Keyboard,Supplier-X,279.0,133,2026-01-27,3823.43
WH-E,Monitor,Supplier-X,539.0,493,2024-11-03,3358.29
WH-A,Laptop,Supplier-Z,297.0,121,2025-12-17,2558.6
WH-A,Keyboard,Supplier-Z,343.0,454,2025-07-05,4050.35
WH-A,Laptop,Supplier-Y,133.0,301,2026-05-25,3347.39
WH-B,Keyboard,Supplier-Y,850.0,192,2026-06-07,2656.11
WH-D,Mobile,Supplier-Y,182.0,145,2024-12-17,3003.13
WH-E,Mobile,Supplier-X,761.0,459,2025-05-17,4026.67
WH-E,Mouse,Supplier-W,659.0,191,2025-04-21,3661.07
WH-C,Mouse,Supplier-W,151.0,239,2025-12-03,1637.61
WH-E,Keyboard,Supplier-W,795.0,250,2025-04-24,3163.74
WH-B,Tablet,Supplier-Y,119.0,91,2026-02-24,1457.48
WH-E,Printer,Supplier-V,360.0,368,2025-12-13,4312.28
WH-D,Laptop,Supplier-W,840.0,119,2024-12-06,1936.77
WH-D,Mouse,Supplier-Y,741.0,139,2026-06-08,3219.68
WH-E,Monitor,Supplier-V,728.0,432,2025-09-10,2507.07
WH-A,Monitor,Supplier-V,680.0,75,2025-06-19,4943.21
WH-E,Mobile,Supplier-W,441.0,344,2026-06-26,2108.66
WH-B,Printer,Supplier-V,664.0,149,2024-10-30,4140.33
WH-D,Tablet,Supplier-W,618.0,467,2026-05-24,3585.47
WH-A,Tablet,Supplier-W,196.0,192,2026-03-23,4384.82
WH-C,Printer,Supplier-V,470.0,37,2025-07-22,1138.48
WH-E,Mouse,Supplier-V,26.0,59,2025-12-03,3233.79
WH-C,Mouse,Supplier-X,921.0,76,2026-07-02,3674.65
WH-A,Router,,,55,2024-09-13,
WH-E,Router,Supplier-W,788.0,351,2024-09-23,4190.84
WH-A,Monitor,Supplier-Y,118.0,21,2026-06-27,1004.41
WH-D,Printer,Supplier-Y,930.0,222,2025-01-30,1190.23
WH-A,Mobile,Supplier-W,24.0,10,2025-07-17,3053.78
WH-D,Monitor,Supplier-V,657.0,369,2025-05-15,2144.99
WH-C,Mouse,Supplier-V,434.0,329,2024-08-28,3617.0
WH-D,Laptop,Supplier-Y,811.0,490,2026-01-10,4085.59
WH-B,Mobile,Supplier-Z,452.0,97,2026-02-15,3202.86
WH-B,Printer,Supplier-Y,543.0,353,2025-05-02,1142.98
WH-B,Router,,,494,2025-05-28,
WH-C,Keyboard,Supplier-W,274.0,1,2026-02-25,1507.63
WH-D,Mobile,Supplier-Y,443.0,206,2025-10-21,788.35
WH-A,Monitor,Supplier-Z,228.0,140,2025-06-15,1540.39
WH-D,Mobile,Supplier-X,639.0,158,2024-10-09,4812.69
WH-C,Laptop,Supplier-Z,807.0,439,2025-06-08,4023.29
WH-E,Monitor,Supplier-X,32.0,76,2025-09-12,3552.25
WH-D,Keyboard,Supplier-Z,393.0,198,2026-03-31,2334.77
WH-D,Mouse,Supplier-W,362.0,337,2024-12-01,4699.64
WH-D,Monitor,Supplier-Y,399.0,219,2026-03-03,3340.65
WH-C,Mobile,Supplier-X,676.0,425,2025-12-13,2618.5
WH-B,Keyboard,Supplier-W,274.0,75,2024-10-23,880.46
WH-C,Tablet,Supplier-V,302.0,133,2026-03-30,3603.7
WH-C,Printer,Supplier-X,278.0,220,2024-09-07,1346.6
WH-D,Laptop,Supplier-Z,974.0,292,2026-03-03,2250.38
WH-A,Mobile,Supplier-X,33.0,151,2024-07-24,3234.57
WH-E,Laptop,Supplier-V,69.0,388,2026-02-23,2539.1
WH-B,Monitor,Supplier-W,439.0,438,2024-07-14,2920.81
WH-A,Monitor,Supplier-Z,890.0,118,2026-04-22,1985.05
WH-D,Tablet,Supplier-Y,91.0,87,2024-11-22,3211.18
WH-E,Router,Supplier-X,815.0,467,2024-08-19,2381.66
WH-E,Tablet,Supplier-X,825.0,286,2025-06-09,1472.86
WH-E,Laptop,Supplier-Z,12.0,182,2025-04-20,3470.6
WH-E,Mobile,Supplier-Z,827.0,465,2025-11-02,3262.8
WH-E,Mobile,,,455,2025-10-22,
WH-E,Printer,Supplier-Y,82.0,114,2026-06-06,3288.97
WH-D,Tablet,Supplier-V,481.0,192,2024-10-26,4004.31
WH-A,Keyboard,Supplier-V,393.0,37,2025-05-23,1686.85
WH-D,Laptop,Supplier-Y,559.0,79,2026-03-16,3921.63
WH-B,Router,Supplier-Y,801.0,393,2025-08-07,4702.96
WH-C,Mobile,Supplier-Y,86.0,238,2025-12-03,4336.15
WH-E,Mobile,Supplier-Z,304.0,485,2025-04-03,1713.23
WH-D,Monitor,Supplier-Y,736.0,384,2024-10-15,5104.5
WH-C,Keyboard,Supplier-Y,224.0,311,2024-08-12,4505.21
WH-D,Laptop,Supplier-Z,688.0,347,2026-03-05,4292.36
WH-C,Laptop,Supplier-Y,157.0,446,2025-06-29,5064.16
WH-B,Laptop,Supplier-Y,105.0,418,2026-01-12,3020.61
WH-A,Printer,Supplier-V,40.0,182,2025-04-17,3325.07
WH-E,Mouse,Supplier-W,339.0,478,2025-08-01,2454.07
WH-D,Mouse,Supplier-Y,192.0,303,2025-03-22,2074.0
WH-A,Monitor,Supplier-X,890.0,459,2025-05-26,4730.91
WH-A,Router,Supplier-Y,117.0,120,2024-11-29,930.71
WH-B,Keyboard,,,435,2026-01-09,
WH-D,Printer,Supplier-V,369.0,472,2026-02-14,2955.47
WH-B,Mobile,Supplier-Y,172.0,152,2026-05-31,934.86
WH-C,Router,Supplier-Z,944.0,101,2024-07-22,1164.18
WH-A,Mouse,Supplier-Z,645.0,242,2026-02-04,2301.66
WH-C,Laptop,Supplier-X,349.0,333,2025-02-23,2243.97
WH-A,Monitor,Supplier-V,105.0,216,2024-12-11,3269.4
WH-E,Mobile,Supplier-Z,127.0,478,2024-08-16,3969.31
WH-E,Laptop,Supplier-X,166.0,161,2024-10-06,994.35
WH-E,Router,Supplier-W,504.0,302,2024-07-24,5076.68
WH-E,Printer,Supplier-X,954.0,120,2025-01-20,2011.99
WH-D,Printer,Supplier-V,387.0,353,2025-10-29,1564.54
WH-A,Mobile,Supplier-Z,518.0,60,2025-06-04,3886.35
WH-E,Monitor,Supplier-Y,318.0,126,2025-03-12,1591.17
WH-C,Keyboard,Supplier-V,393.0,338,2026-04-05,4577.47
WH-B,Tablet,Supplier-W,774.0,241,2024-07-18,3651.03
WH-B,Keyboard,Supplier-W,404.0,95,2026-04-01,5060.3
WH-E,Mouse,Supplier-W,458.0,301,2024-10-27,2499.17
WH-E,Mobile,Supplier-Y,899.0,62,2026-05-09,1481.88
WH-E,Router,Supplier-V,826.0,392,2024-08-27,1888.2
WH-C,Monitor,Supplier-W,463.0,474,2025-02-10,3136.1
WH-E,Laptop,Supplier-X,683.0,46,2025-09-12,1790.15
WH-C,Keyboard,Supplier-V,515.0,388,2024-10-29,2477.0
WH-D,Tablet,Supplier-Y,635.0,124,2025-08-13,2916.09
WH-B,Keyboard,Supplier-Y,576.0,200,2025-06-27,3376.25
WH-A,Router,Supplier-V,866.0,418,2025-06-26,4916.63
WH-B,Tablet,Supplier-W,664.0,345,2025-10-17,2796.53
WH-A,Monitor,Supplier-X,805.0,304,2024-08-06,5085.56
WH-C,Monitor,Supplier-V,69.0,144,2026-01-13,2009.81
WH-D,Tablet,Supplier-Z,480.0,390,2025-03-23,2001.78
WH-B,Mobile,Supplier-X,185.0,145,2026-06-02,3080.91
WH-E,Keyboard,Supplier-Z,566.0,203,2025-10-03,2470.66
WH-E,Router,Supplier-Y,926.0,231,2025-07-18,1413.66
WH-E,Router,Supplier-X,829.0,109,2025-07-17,1638.81
WH-E,Keyboard,Supplier-Y,159.0,234,2026-02-27,3694.64
WH-D,Mobile,Supplier-W,883.0,94,2025-03-19,3577.08
WH-E,Monitor,Supplier-W,510.0,357,2025-09-21,3328.22
WH-E,Mouse,Supplier-V,872.0,6,2026-03-17,3175.66
WH-E,Keyboard,Supplier-V,26.0,57,2025-02-17,1494.96
WH-B,Router,Supplier-W,123.0,440,2025-07-15,1566.45
WH-C,Monitor,Supplier-V,338.0,193,2026-03-20,3051.78
WH-E,Router,Supplier-Y,816.0,20,2026-05-24,3683.96
WH-E,Mobile,Supplier-X,608.0,42,2025-05-16,3364.32
WH-D,Tablet,Supplier-V,505.0,58,2026-03-09,3336.08
WH-E,Tablet,Supplier-Z,281.0,223,2026-06-21,2351.69
WH-D,Router,Supplier-W,851.0,33,2025-06-10,3297.65
WH-E,Keyboard,Supplier-Z,616.0,222,2025-08-17,5120.94
WH-A,Keyboard,Supplier-Y,470.0,121,2025-07-14,2925.88
WH-C,Keyboard,Supplier-W,24.0,447,2024-08-31,2075.34
WH-A,Mouse,Supplier-W,636.0,344,2024-07-24,3347.97
WH-A,Monitor,Supplier-V,711.0,107,2025-02-26,4381.71
WH-D,Monitor,Supplier-X,258.0,282,2024-08-12,3637.47
WH-A,Monitor,Supplier-Y,283.0,218,2025-07-21,840.57
WH-C,Mouse,Supplier-V,692.0,104,2025-12-24,3090.15
WH-B,Tablet,Supplier-Z,993.0,50,2025-07-18,4643.47
WH-B,Mobile,Supplier-Z,680.0,103,2024-09-23,1604.6
WH-A,Mouse,Supplier-X,750.0,471,2025-04-17,4237.18
WH-D,Printer,Supplier-W,922.0,236,2024-11-02,2569.86
WH-A,Mobile,Supplier-Z,667.0,351,2025-07-24,3087.37
WH-B,Printer,,,372,2025-07-03,
WH-C,Mouse,Supplier-Z,494.0,74,2026-05-12,1200.42
WH-E,Monitor,Supplier-X,891.0,176,2025-04-23,1244.02
WH-E,Keyboard,,,309,2024-10-26,
WH-B,Printer,Supplier-Y,812.0,111,2024-08-06,2505.78
WH-D,Mobile,Supplier-W,73.0,17,2024-10-25,4464.04
WH-A,Mobile,Supplier-X,745.0,337,2025-07-31,5238.41
WH-B,Router,Supplier-W,300.0,76,2024-07-07,3215.06
WH-C,Monitor,Supplier-V,156.0,139,2025-08-30,1644.58
WH-D,Monitor,Supplier-X,3.0,5,2024-12-14,3806.14
WH-C,Laptop,Supplier-W,69.0,339,2026-05-17,1616.34
WH-A,Mouse,Supplier-Z,447.0,5,2024-10-01,790.66
WH-C,Keyboard,Supplier-Z,221.0,386,2025-07-17,3332.18
WH-D,Mobile,Supplier-Z,54.0,60,2025-07-05,4213.21
WH-A,Mobile,Supplier-V,745.0,202,2026-04-26,957.71
WH-B,Router,Supplier-V,535.0,326,2025-04-22,1449.94
WH-D,Router,Supplier-X,360.0,478,2026-02-13,2713.38
WH-A,Mobile,Supplier-Z,178.0,358,2024-11-13,1099.29
WH-B,Mouse,Supplier-Z,764.0,244,2026-03-31,1189.65
WH-C,Printer,Supplier-X,656.0,63,2025-11-06,982.01
WH-E,Keyboard,Supplier-X,590.0,253,2025-11-17,4496.36
WH-E,Printer,Supplier-Y,341.0,318,2025-06-18,1601.26
WH-A,Mobile,Supplier-Y,452.0,103,2025-09-22,4020.63
WH-E,Keyboard,Supplier-W,259.0,133,2024-09-08,2222.08
WH-E,Printer,,,45,2025-01-02,
WH-C,Printer,Supplier-Y,331.0,291,2026-04-11,1661.77
WH-B,Router,Supplier-X,261.0,146,2024-08-14,1566.65
WH-C,Router,Supplier-V,298.0,300,2026-04-13,2537.72
WH-D,Keyboard,Supplier-W,683.0,239,2024-07-20,2076.18
WH-E,Router,Supplier-X,949.0,483,2025-12-21,3061.84
WH-E,Monitor,Supplier-Y,171.0,177,2025-08-09,1292.24
WH-B,Keyboard,Supplier-Z,706.0,124,2026-04-29,3227.62
WH-A,Mouse,Supplier-Z,463.0,352,2025-07-26,4146.25
WH-E,Laptop,Supplier-V,925.0,335,2026-06-15,5031.05
WH-B,Laptop,Supplier-Z,212.0,464,2025-10-11,2659.34
WH-B,Laptop,Supplier-V,7.0,102,2026-06-30,2773.98
WH-A,Mobile,Supplier-V,800.0,33,2025-04-23,5069.99
WH-D,Tablet,Supplier-Z,461.0,31,2026-06-29,926.84
WH-C,Keyboard,Supplier-Z,615.0,475,2026-04-19,3337.17
WH-B,Laptop,Supplier-V,341.0,308,2025-08-22,3110.37
WH-A,Monitor,Supplier-V,180.0,383,2025-02-05,747.46
WH-E,Monitor,Supplier-Y,659.0,426,2025-12-02,3750.42
WH-D,Laptop,Supplier-V,418.0,161,2024-10-20,4908.51
WH-E,Tablet,Supplier-V,620.0,54,2025-12-22,2052.8
WH-B,Mouse,Supplier-Y,988.0,457,2024-09-23,1830.36
WH-E,Laptop,Supplier-W,106.0,374,2025-12-07,4453.8
WH-E,Monitor,Supplier-X,620.0,262,2026-04-07,1177.59
WH-B,Tablet,Supplier-X,701.0,277,2026-01-08,2322.68
WH-D,Router,Supplier-W,705.0,131,2024-09-02,1778.86
WH-E,Monitor,Supplier-W,264.0,130,2025-01-29,4103.03
WH-E,Printer,Supplier-Y,550.0,351,2024-11-25,4047.22
WH-A,Mobile,Supplier-W,407.0,225,2026-03-23,4703.13
WH-B,Router,Supplier-V,670.0,265,2025-03-06,3899.56
WH-B,Laptop,Supplier-W,200.0,177,2025-08-03,767.69
WH-B,Mouse,Supplier-Y,786.0,251,2025-01-05,1040.32
WH-C,Monitor,Supplier-Y,264.0,217,2026-04-18,1784.04
WH-A,Monitor,Supplier-V,995.0,107,2026-03-22,2003.41
WH-A,Router,Supplier-V,262.0,499,2025-04-13,5058.72
WH-D,Tablet,Supplier-W,73.0,141,2024-08-01,4539.23
WH-E,Mobile,Supplier-Z,898.0,255,2025-09-10,4281.2
WH-E,Tablet,Supplier-Y,670.0,351,2025-09-13,4160.47
WH-E,Keyboard,Supplier-V,912.0,197,2025-10-04,2199.95
WH-D,Router,Supplier-W,342.0,198,2024-08-14,754.16
WH-B,Printer,Supplier-X,149.0,306,2025-07-31,3568.33
WH-A,Keyboard,Supplier-Y,89.0,223,2026-06-26,4444.64
